Nivel de estudios,Comunidad Autónoma,ccaa,Tipo,Universidad,Modalidad,Centro,Provincia,Centro,Títuilo,Titulación,Idioma extranjero,Nota de corte
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Matemáticas,PCEO Grado en Física / Grado en Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"13,76"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Ciencias,PCEO Grado en Matemáticas / Grado en Física,Doble Grado en Matemáticas / Grado en Física,No,"13,75"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Físicas,PCEO Grado en Matemáticas / Grado en Física,Doble Grado en Matemáticas / Grado en Física,No,"13,74"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad Politécnica de Valencia,Presencial,Propio,Valencia,Escuela Técnica Superior de Ingeniería de Telecomunicación,PCEO Grado en Ingeniería Informática / Grado en Matemáticas,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,62"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Escuela Técnica Superior de Ingeniería Informática,PCEO Grado en Ingeniería informática-tecnologías informáticas / Grado en Matemáticas,Doble Grado en Ingeniería informática-tecnologías informáticas / Grado en Matemáticas,No,"13,6"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad Pablo de Olavide,Presencial,Propio,Sevilla,Facultad de Derecho,PCEO Grado en Relaciones internacionales / Grado en Derecho,Doble Grado en Relaciones internacionales / Grado en Derecho,No,"13,55"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Física,PCEO Grado en Física / Grado en Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"13,54"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Complutense de Madrid,Presencial,Propio,Madrid,Facultad de Informática,PCEO Grado en Ingeniería Informática / Grado en Matemáticas,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,53"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Málaga,Presencial,Propio,Málaga,Escuela Técnica Superior de Ingeniería Informática,PCEO Grado en Matemáticas / Grado en Ingeniería Informática,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"13,49"
GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Medicina,Grado en Biomedicina Básica y Experimental,Grado en Biomedicina Básica y Experimental,No,"13,46"
DOBLE GRADO,Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Propio,Cantabria,Facultad de Ciencias,PCEO Grado en Física / Grado en Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"13,46"
GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"13,45"
DOBLE GRADO,Aragón,Aragón,Pública,Universidad de Zaragoza,Presencial,Propio,Zaragoza,Facultad de Ciencias,PCEO Grado en Física / Grado en Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"13,43"
