id,x,y,node_size,target_id,target_x,target_y,target_node_size,link_width,alpha
0,400,400,4000,0,400,400,4000,0,0
1,600.0,400.0,1,0,400,400,4000,1.51,0.5
2,599.22,417.68,1,0,400,400,4000,2.9,0.97
3,596.88,435.21,1,0,400,400,4000,1.48,0.49
4,592.99,452.48,1,0,400,400,4000,1.6,0.53
5,587.6,469.33,1,0,400,400,4000,1.87,0.62
6,580.74,485.64,1,0,400,400,4000,1.59,0.53
7,572.46,501.27,1,0,400,400,4000,0.78,0.26
8,562.84,516.12,1,0,400,400,4000,2.15,0.72
9,551.94,530.06,1,0,400,400,4000,1.38,0.46
10,539.85,542.98,1,0,400,400,4000,1.71,0.57
11,526.66,554.78,1,0,400,400,4000,2.88,0.96
12,512.49,565.37,1,0,400,400,4000,2.62,0.87
13,497.43,574.66,1,0,400,400,4000,1.24,0.41
14,481.62,582.59,1,0,400,400,4000,1.56,0.52
15,465.16,589.09,1,0,400,400,4000,2.81,0.94
16,448.19,594.11,1,0,400,400,4000,2.18,0.73
17,430.85,597.61,1,0,400,400,4000,2.02,0.67
18,413.26,599.56,1,0,400,400,4000,1.41,0.47
19,395.58,599.95,1,0,400,400,4000,0.55,0.18
20,377.92,598.78,1,0,400,400,4000,1.65,0.55
21,360.44,596.05,1,0,400,400,4000,2.57,0.86
22,343.27,591.78,1,0,400,400,4000,0.67,0.22
23,326.54,586.02,1,0,400,400,4000,1.54,0.51
24,310.39,578.8,1,0,400,400,4000,0.82,0.27
25,294.93,570.18,1,0,400,400,4000,2.69,0.9
26,280.31,560.23,1,0,400,400,4000,2.51,0.84
27,266.61,549.02,1,0,400,400,4000,0.81,0.27
28,253.96,536.65,1,0,400,400,4000,1.44,0.48
29,242.46,523.21,1,0,400,400,4000,2.09,0.7
30,232.19,508.8,1,0,400,400,4000,0.7,0.23
31,223.23,493.55,1,0,400,400,4000,0.54,0.18
32,215.65,477.56,1,0,400,400,4000,0.51,0.17
33,209.52,460.96,1,0,400,400,4000,0.81,0.27
34,204.87,443.89,1,0,400,400,4000,2.64,0.88
35,201.76,426.47,1,0,400,400,4000,1.44,0.48
36,200.2,408.85,1,0,400,400,4000,0.89,0.3
37,200.2,391.15,1,0,400,400,4000,1.96,0.65
38,201.76,373.53,1,0,400,400,4000,2.27,0.76
39,204.87,356.11,1,0,400,400,4000,1.29,0.43
40,209.52,339.04,1,0,400,400,4000,2.55,0.85
41,215.65,322.44,1,0,400,400,4000,2.63,0.88
42,223.23,306.45,1,0,400,400,4000,1.54,0.51
43,232.19,291.2,1,0,400,400,4000,2.3,0.77
44,242.46,276.79,1,0,400,400,4000,1.75,0.58
45,253.96,263.35,1,0,400,400,4000,2.7,0.9
46,266.61,250.98,1,0,400,400,4000,1.93,0.64
47,280.31,239.77,1,0,400,400,4000,1.22,0.41
48,294.93,229.82,1,0,400,400,4000,2.02,0.67
49,310.39,221.2,1,0,400,400,4000,2.83,0.94
50,326.54,213.98,1,0,400,400,4000,2.1,0.7
51,343.27,208.22,1,0,400,400,4000,1.11,0.37
52,360.44,203.95,1,0,400,400,4000,2.98,0.99
53,377.92,201.22,1,0,400,400,4000,1.5,0.5
54,395.58,200.05,1,0,400,400,4000,1.62,0.54
55,413.26,200.44,1,0,400,400,4000,1.05,0.35
56,430.85,202.39,1,0,400,400,4000,2.61,0.87
57,448.19,205.89,1,0,400,400,4000,1.21,0.4
58,465.16,210.91,1,0,400,400,4000,1.82,0.61
59,481.62,217.41,1,0,400,400,4000,0.65,0.22
60,497.43,225.34,1,0,400,400,4000,1.26,0.42
61,512.49,234.63,1,0,400,400,4000,0.64,0.21
62,526.66,245.22,1,0,400,400,4000,2.29,0.76
63,539.85,257.02,1,0,400,400,4000,2.96,0.99
64,551.94,269.94,1,0,400,400,4000,0.95,0.32
65,562.84,283.88,1,0,400,400,4000,2.5,0.83
66,572.46,298.73,1,0,400,400,4000,0.92,0.31
67,580.74,314.36,1,0,400,400,4000,2.11,0.7
68,587.6,330.67,1,0,400,400,4000,2.89,0.96
69,592.99,347.52,1,0,400,400,4000,0.55,0.18
70,596.88,364.79,1,0,400,400,4000,1.22,0.41
71,599.22,382.32,1,0,400,400,4000,1.55,0.52
