CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"13,76"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Física,No,"13,75"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Ciencias Físicas,Doble Grado en Matemáticas / Grado en Física,No,"13,74"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,62"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería Informática,Doble Grado en Ingeniería informática-tecnologías informáticas / Grado en Matemáticas,No,"13,6"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Doble Grado en Relaciones internacionales / Grado en Derecho,No,"13,55"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Física,Doble Grado en Física / Grado en Matemáticas,No,"13,54"
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Informática,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,53"
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería Informática,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"13,49"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Medicina,Grado en Biomedicina Básica y Experimental,No,"13,46"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Ciencias,Doble Grado en Física / Grado en Matemáticas,No,"13,46"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,45"
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias,Doble Grado en Física / Grado en Matemáticas,No,"13,43"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Estudios Internacionales / Grado en Derecho,Sí,"13,43"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,42"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Humanidades,Doble Grado en Traducción e interpretación francés / Grado en Relaciones internacionales,No,"13,42"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Ciencias Matemáticas,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"13,41"
Asturias,Asturias,Pública,Universidad de Oviedo,Presencial,Escuela de Ingeniería Informática,Doble Grado en Ingeniería Informática del Software / Grado en Matemáticas,No,"13,4"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Biología,Doble Grado en Biotecnología (Plan nuevo) / Grado en Farmacia,No,"13,4"
